ghi,dhi,precip,timestamp_utc,temp,app_temp,dni,snow_depth,wind_cdir,rh,pod,pop,ozone,clouds_hi,clouds,vis,wind_spd,wind_cdir_full,slp,datetime,ts,pres,dewpt,uv,clouds_mid,wind_dir,snow,clouds_low,solar_rad,wind_gust_spd,timestamp_local,description(output),code,icon
0,0,0,2025-01-17T03:00:00,36.5,33.8,0,0,W,75,n,0,371,0,7,14.9,3.6,west,1015,2025-01-17:03,1737082800,1007,29.3,0,0,270,0,65,0,9.8,2025-01-16T22:00:00,Few clouds,801,c02n
0,0,0,2025-01-17T06:00:00,34.2,31.1,0,0,WNW,78,n,0,364,0,4,14.9,3.6,west-northwest,1017,2025-01-17:06,1737093600,1009,28,0,0,290,0,0,0,10.1,2025-01-17T01:00:00,Few clouds,801,c02n
0,0,0,2025-01-17T09:00:00,30.4,25.9,0,0,NW,83,n,0,352,0,2,14.9,4.5,northwest,1021,2025-01-17:09,1737104400,1013,25.9,0,0,310,0,0,0,9.2,2025-01-17T04:00:00,Few clouds,801,c02n
0,0,0,2025-01-17T12:00:00,28.6,24.6,0,0,NW,84,n,0,345,0,3,14.9,3.6,northwest,1023,2025-01-17:12,1737115200,1015,24.3,0,0,320,0,0,0,8.3,2025-01-17T07:00:00,Few clouds,801,c02n
389,88,0,2025-01-17T15:00:00,38.8,35.6,750,0,NNW,59,d,0,340,0,2,14.9,4.5,north-northwest,1025,2025-01-17:15,1737126000,1017,25.9,2,0,340,0,0,388.9594,8.3,2025-01-17T10:00:00,Few clouds,801,c02d
549,101,0,2025-01-17T18:00:00,46.4,46.4,833,0,NNW,43,d,0,334,3,2,14.9,3.6,north-northwest,1024,2025-01-17:18,1737136800,1016,25.2,3,0,330,0,0,549.3392,6.9,2025-01-17T13:00:00,Few clouds,801,c02d
200,66,0,2025-01-17T21:00:00,47.1,47.1,590,0,S,42,d,0,320,0,1,14.9,2.7,south,1023,2025-01-17:21,1737147600,1015,25.3,2,0,190,0,0,199.86996,5.1,2025-01-17T16:00:00,Clear Sky,800,c01d
0,0,0,2025-01-18T00:00:00,37.4,39.6,0,0,SSE,67,n,0,314,0,5,14.9,0.9,south-southeast,1024,2025-01-18:00,1737158400,1016,27.5,0,0,160,0,0,0,3.1,2025-01-17T19:00:00,Few clouds,801,c02n
0,0,0,2025-01-18T03:00:00,34,33.4,0,0,SSE,76,n,0,311,5,13,14.9,1.8,south-southeast,1024,2025-01-18:03,1737169200,1016,27.1,0,0,160,0,0,0,5.8,2025-01-17T22:00:00,Few clouds,801,c02n
0,0,0,2025-01-18T06:00:00,32.5,32,0,0,S,84,n,0,312,100,30,14.9,1.8,south,1023,2025-01-18:06,1737180000,1015,28.2,0,74,180,0,0,0,6,2025-01-18T01:00:00,Scattered clouds,802,c02n
0,0,0,2025-01-18T09:00:00,31.8,29.7,0,0,SSE,88,n,0,309,100,70,14.9,2.7,south-southeast,1021,2025-01-18:09,1737190800,1013,28.8,0,100,160,0,0,0,6.7,2025-01-18T04:00:00,Broken clouds,803,c03n
0,0,0,2025-01-18T12:00:00,33.6,33.1,0,0,S,91,n,0,307,100,94,14.9,1.8,south,1019,2025-01-18:12,1737201600,1011,31.3,0,100,170,0,3,0,6.5,2025-01-18T07:00:00,Overcast clouds,804,c04n
391,88,0.01,2025-01-18T15:00:00,42.3,40.3,752,0,S,86,d,25,307,100,90,14.9,3.6,south,1018,2025-01-18:15,1737212400,1010,38.3,1,100,180,0,100,145.16301,8.5,2025-01-18T10:00:00,Overcast clouds,804,c04d
553,102,0.01,2025-01-18T18:00:00,48.2,48,835,0,SSW,80,d,25,293,100,92,2.7,5.4,south-southwest,1015,2025-01-18:18,1737223200,1007,42.3,1,100,210,0,100,178.14684,11.6,2025-01-18T13:00:00,Overcast clouds,804,c04d
203,66,0.025,2025-01-18T21:00:00,46.8,46.8,594,0,SSW,90,d,45,292,100,80,13.8,3.6,south-southwest,1011,2025-01-18:21,1737234000,1003,44.1,1,100,210,0,100,117.67659,8.9,2025-01-18T16:00:00,Drizzle,301,d02d
0,0,0.04,2025-01-19T00:00:00,45.5,45.5,0,0,SSW,99,n,55,298,0,68,14.9,1.8,south-southwest,1011,2025-01-19:00,1737244800,1003,45.3,0,3,210,0,70,0,6.3,2025-01-18T19:00:00,Light shower rain,520,r04n
0,0,0.025,2025-01-19T03:00:00,43.9,44.2,0,0,SW,100,n,45,301,0,73,14.9,1.8,southwest,1011,2025-01-19:03,1737255600,1003,43.9,0,3,230,0,99,0,5.7,2025-01-18T22:00:00,Drizzle,301,d02n
0,0,0.01,2025-01-19T06:00:00,42.1,42.4,0,0,WSW,100,n,25,305,0,78,14.9,1.8,west-southwest,1011,2025-01-19:06,1737266400,1003,42.1,0,0,250,0,9,0,5.1,2025-01-19T01:00:00,Overcast clouds,804,c04n
0,0,0.01,2025-01-19T09:00:00,40.8,39.7,0,0,WNW,100,n,35,304,96,81,14.9,2.7,west-northwest,1012,2025-01-19:09,1737277200,1004,40.8,0,100,285,0,5,0,5.8,2025-01-19T04:00:00,Overcast clouds,804,c04n
0,0,0.01,2025-01-19T12:00:00,39.7,37.4,0,0,NW,100,n,35,305,0,84,14.9,3.6,northwest,1014,2025-01-19:12,1737288000,1006,39.7,0,4,320,0,100,0,6.5,2025-01-19T07:00:00,Overcast clouds,804,c04n
394,88,0.005,2025-01-19T15:00:00,45,41.7,753,0,NNW,90,d,15,304,99,79,14.9,5.8,north-northwest,1015,2025-01-19:15,1737298800,1007,42.1,1,100,330,0,26,234.75668,10.2,2025-01-19T10:00:00,Overcast clouds,804,c04d
557,102,0,2025-01-19T18:00:00,50.2,50.2,836,0,NNW,79,d,0,303,70,74,14.9,8.1,north-northwest,1014,2025-01-19:18,1737309600,1006,43.9,2,29,340,0,64,376.69513,13.9,2025-01-19T13:00:00,Overcast clouds,804,c04d
207,67,0,2025-01-19T21:00:00,46.2,46.2,598,0,NNW,82,d,0,301,0,69,12,6.7,north-northwest,1013,2025-01-19:21,1737320400,1005,41,1,43,335,0,100,154.22571,12.3,2025-01-19T16:00:00,Broken clouds,803,c03d
0,0,0,2025-01-20T00:00:00,42.3,38.8,0,0,NNW,84,n,0,305,0,64,14.9,5.4,north-northwest,1016,2025-01-20:00,1737331200,1008,37.8,0,0,330,0,100,0,10.7,2025-01-19T19:00:00,Broken clouds,803,c03n
0,0,0,2025-01-20T03:00:00,37.8,33.1,0,0,NNW,76,n,0,318,0,52,14.9,5.8,north-northwest,1019,2025-01-20:03,1737342000,1011,30.7,0,3,330,0,100,0,11.1,2025-01-19T22:00:00,Broken clouds,803,c03n
0,0,0,2025-01-20T06:00:00,33.1,27.3,0,0,NNW,69,n,0,316,0,39,14.9,6.3,north-northwest,1022,2025-01-20:06,1737352800,1014,24.1,0,0,330,0,97,0,11.4,2025-01-20T01:00:00,Scattered clouds,802,c02n
0,0,0,2025-01-20T09:00:00,29.7,23,0,0,NNW,67,n,0,312,0,28,14.9,6.7,north-northwest,1026,2025-01-20:09,1737363600,1018,20.1,0,0,335,0,0,0,11.9,2025-01-20T04:00:00,Scattered clouds,802,c02n
